Month,Year,Comments
5,2021,"Always wanted to come Jamaica, finally came and the island is so beautiful and the people are funny and welcoming."
5,2021,The people are a bunch of scammers that's why the country can't be any better people out here doing ridiculous things.
5,2021,"Loving this resort, came before and had to come back. The service is great."
5,2021,Can't wait to travel back. Villa was clean and comfortable.
5,2021,"Best resort, facilities great. The place is very clean, a nice site to see."
5,2021,The staff was very pleasant and made us feel welcomed to the island.
5,2021,"Very fancy hotel, love the scenery there."
5,2021,"Beautiful scenery, lovely service."
5,2021,The hotel is fantastic. Loved every day.
5,2021,More alcohol in the drinks.
5,2021,The Jamaican people are incredible.
5,2021,Covid just made things more difficult due to not being able to walk around and without mask and more smoking areas.
5,2021,"Great stay, thank you."
5,2021,Road need to be fixed in St Thomas.
5,2021,Was a fun trip.
5,2021,"Amazing hotel, enjoyed the time, food, service everything was exquisite."
5,2021,Great resort.
5,2021,Love Jamaican culture.
5,2021,Enjoyed our time here also the food and the warm welcome from the people.
5,2021,"Had a fantastic time in Jamaica, great restaurants."
5,2021,Roads need to be fixed.
6,2021,great travel authorization system
6,2021,get better hand sanitizer. not as jelly. more liquid like purell
6,2021,more weed and gaja tours
6,2021,i didnt know there was a curfew. would have been good to know in advance
6,2021,taxes are way too high
6,2021,"Jamaica is so beautiful, Hoping to purchase my retirement home here"
6,2021,I CANT WAIT FOR THIS PANDEMIC TO BE OVER . IT INTEREFERED WITH MY VACATION
6,2021,OUR COUNTRY IS REALLY PARADISE. WE ONLY NEED THE DISCIPLINE AND STRONG CURRENCY
6,2021,AIRPORT WORKERS COULD BE NICER
6,2021,WE ENJOYED OUR HONEYMOON
6,2021,MY HUSBAND AND I HAD A WONDERFUL TIME
6,2021,WISH THE DRIVE TO NEGRIL WAS SHORTER
6,2021,EVERYTHING WAS AMAZING. CANT WAIT TO RETURN
6,2021,MORE ORGANIZATION IN AIRPORT AND EXCURSION
6,2021,STAY FUN MON
6,2021,THE RESORT INFO WAS INACCURATE AND MISLEADING
6,2021,FELT LIKE A KING
6,2021,"I WILL BE BACK, BUT TO KINGSTON"
6,2021,AGGRESS TO TRY TO MAKE YOU SHOP OR SELL SOMETHING
6,2021,AFFORDABLE SOVENIR AT THE RESORT THE PRICES ARE UNAFFORDABLE FOR MANY
9,2021,ADD MORE ANITIZING STATIONS. LINES ARE TOO LONG JUST TO GET HANDS SANTITIZED
6,2021,WHEN CHECKING IN. IT SHOULD BE UNDERSTOOD THAT PARENTS WILL WAIT FOR MINOR CHILD EVEN IF THEY ARE 14 YRS OLD
6,2021,I LOVE IT HERE!
6,2021,"LOVE, LOVE , LOVE PEOPLE! THANK YOU"
6,2021,HAVE OX-TAILS AT AIRPORT!
6,2021,HAVE OXTAILS AT AIRPORT
6,2021,"VERY GREAT EXPERIENCE, THANK YOU"
6,2021,AMAZING COUNTRY. THANK YOU
6,2021,JETBLUE CANCELLED A WHOLE DAY OF MY TRIP
6,2021,WIFI NEEDS TO BE STRONGER
6,2021,JAMAICA'S CULTURE IS EVERYTHING
6,2021,LOVE THE SCENERY ON THE MOUNTAIN. ITS SO PEACEFUL
6,2021,"MORE BUS SERVICES, BUS RIDES WERE VERY LONG. PICKING PEOPLE UP. STILL GREAT SCENERY THOUGH"
3,2021,ADVISE FLYERS ON NEEDING SMALLER CHECK BAGS BEFORE HAND
6,2021,WE DIDNT FIND INFO ABOUT FARMS TO FILL OUT FOR COVID BEFORE ARRIVING TO AIRPORT. KNOWING BEFORE WOULD ELIMINATE STRESS
6,2021,OUR EXPERIENCE HERE WAS INCREDIBLE? CANT WAIT TO COME BACK
6,2021,CANT WAIT TO COME BACK
6,2021,PLEASE GET BETTER A/C IN AIRPORT
6,2021,STAMP OUR PASSPORTS
6,2021,ALL GOOD
6,2021,I WISH YOU ALL WELL AND WE CAN RETURN TO NORMAL SOON
6,2021,DONT GO TO GO SANDALS
6,2021,FIX KINGSTON SO WE ARENT AFRAID TO VISIT THE CAPITAL
6,2021,NO PROBLEMS
6,2021,PEOPLE IN JAMAICA VERY FRIENDLY
6,2021,EVERYTHING IS BEAUTIFUL
6,2021,CUSTOMER SERVICE SHOULDNT TREAT TOURISTS AS IF THEY SHOULD ALREADY KNOW ANSERS TO THE QUESTIONS THEY ARE ASKING
6,2021,ROYALTON WHITE SAND AND STAFF WERE VERY ACCOMODATING
6,2021,I WOULD RECOMMEND JAMAICA TO FRIENDS BUT WOULD NOT RECOMMEND WHITE SANDS
6,2021,I WISH PEOPLE WERE FRIENDLIER TO TOURISTS
6,2021,THE NICEST PEOPLE I HAVE EVER MET
6,2021,LOVE THE PEOPLE
6,2021,"FIX THE AIRLINE, RECYCLE MORE"
6,2021,PICKUP TRASH
1,2021,"GREAT TIME, GREAT PEOPLE"
6,2021,SAD TO LEAVE
6,2021,WIFI WAS NOT CONNECTING. RESULTED IN ME MISSING MY FLIGHT
6,2021,FIX THE ROADS AND DRIVERS ED
6,2021,FAVORITE PLACE TO VACATION
6,2021,"QUIT THE HAND SANITIZER , THIS IS NOT A PANDEMIC"
6,2021,CURFEW
6,2021,FOOD SERVICE SHOULD WEAR GLOVES
6,2021,ALWAYS A PLEASURE TO BE BACK HOME . BUT CITIZENS ARE STILL NOT CO-OPERATING
6,2021,ENJOY THE MEALS AND THE SERVICE
6,2021,PORTLAND PARISH IS VERY NICE AND FULL OF SPLENDID BEACHES
6,2021,WE LOVE THE CULTURE IN JAMAICA THE FOOD AND THE ENTERTAINMENT
6,2021,"GREAT RESORT, VERY FANCY AND WELL KEPT"
6,2021,JUNGLE JUSTICE FOR MOLESTERS
6,2021,MOON PALACE IS THE BEST RESORT IN JAMAICA. LOVED IT THERE
6,2021,EXCELLENT SERVICE
6,2021,THE SCENERY OF THE HOTEL IS VERY BEAUTIFUL. IT DOES GET A BIT NOISY
6,2021,ALOT OF PEOPLE IN AIRPORT HAVE NOT BEEN NICE
6,2021,PEOPLE COULD BE NICER
6,2021,"OUR BIGGEST ISSUE WAS WITHOUT AIRLINE , WE ENJOYED OUR STAY HERE."
6,2021,AIRPORT STAFF ATTITTUDE
6,2021,WE LOVE JAMAICA. THE PLACE AND PEOPLE
6,2021,THE RESIDENTS WHERE REALLY NICE
6,2021,RESPECT FOR ALL
6,2021,EXCLELENT
6,2021,FEMALES SHOULD BE MORE WELCOMING
6,2021,EXPENSIVE
6,2021,NOT A BIG TRAVELLER SO NOT SURE HOW TO COMPARE FOR SOME QUESTIOMS
6,2021,AMAZING PLACE
6,2021,FANTASTIC
6,2021,UPDATE ROADS
6,2021,"NICE PEOPLE, FRIENDLY"
6,2021,GET RID OF THE CURFEW
6,2021,AIRPORT PERSONNEL ARE NOT HAPPY PEOPLE! I WOULD SUGGEST COMMENT CARDS THROUGHOUT THE AIRPORT!
6,2021,HAVING TO IMPUT EACH FAMILY MEMBER INDIVIDUALLY ON VISITJAMAICA.COM WAS TOO CUMBERSOME
6,2021,"IF VISITORS COMPLETE THE TRAVEL AUTHORIZATION , WE SHOULD NOT HAVE TO COMPLETE IT ON PENCIL AND PAPER"
6,2021,AIRPORT TOOK OUR COFFEE AND SAID TOO BAD SHOULD HAVE PUT IT IN YOUR CHECKED BAG
7,2021,Travelling with my spouse.
7,2021,All employees need more communication and hospitality.
7,2021,Flight going back was a disaster. Need to accomodate customers better.
7,2021,I am never coming back.
7,2021,Jetblue dropped the ball on flight 480 5 July...delayed and then cancelled with little to no information.
7,2021,Recommend limit the ability of people to scam tourists. Train security personnel at airport regarding customer service.
7,2021,Everyone could be a little more friendly.
7,2021,The good vibes.
7,2021,Amazing people.
7,2021,Very positive experience.
7,2021,Need that good ac and pizza.
7,2021,"I had a blast, can't wait to visit again."
7,2021,Great vacation. Food at resort same every day.
7,2021,A beautiful place to come to.
7,2021,"Enjoy the trip, had a blast."
7,2021,Jamaicans need to treat fellow Jamaicans better.
7,2021,A lot of work on your taxis or they will be the reason people will not travel here.
7,2021,Roads need to be improved.
7,2021,Organization and communication.
7,2021,Thank you Jamaica!
7,2021,The survey is too long.
7,2021,Litter pickup. In Texas there are volunteer groups and they earn community service recognition.
7,2021,Love it.
7,2021,The roads from Mandeville to Montego Bay are deplorable.
7,2021,I had a great time. Loved it!
7,2021,People of Jamaica were amazing.
7,2021,Love Jamaica and the people.
7,2021,We loved it here. It was great.
7,2021,I spent my life in the resort with my friends for the wedding but I wish I had explored more authentic experiences of the country or culture.
7,2021,Airport AC at check in was horrible.
7,2021,People should not have to get tested to leave and Jamaica needs street signs.
7,2021,Better roads please.
7,2021,If we complete the travel authorization online the arrival and clearance process should be faster not slower than those completing the form by hand.
7,2021,A more organized process for arrival for example the travel authorization form processing.
7,2021,I thoroughly enjoyed my stay. Definitely coming back.
7,2021,Flights here were getting cancelled. Had 4 flights out of Denver cancelled.
7,2021,Please get rid of the authorization form.
7,2021,Excellent experience.
7,2021,"Amazing trip, great customer service."
7,2021,Taxi prices should be more reasonable. A 10 minute drive shouldn't be $50+tip roundtrip.
7,2021,The prices for food and tax. Services are absurd if they know your'e not local.
7,2021,Keep up the amazing work! My family and I continue to return every year.
7,2021,Make Bahia Principe honour the 3 day refund if you have a change of mind. Bahia Principe privelege club.
7,2021,Clean entrance to River raft.
7,2021,Good trip.
7,2021,Everyone was wonderful.
7,2021,People are a bit slower than usual.
7,2021,Blue hole excellent; Javior is the best guide (Island Gully Falls).
7,2021,Great country.
7,2021,Awesome stay and friendly people! Loved the emphasis on kindness.
7,2021,Improve/better promote local attractions and tours.
7,2021,COVID guidelines are confusing.
7,2021,The airport staff is rude in customs and especially Spirit Airlines. Driving is terrible our driver had a wreck.
7,2021,Can't wait to come back - nicest people I've ever met live here!
7,2021,"Nothing, I love Ja even more than before."
7,2021,Customer service.
7,2021,Best tour guide I would recommend is RCM Tours.
7,2021,Customer service in all sectors is very poor.
7,2021,Thank you and see you soon.
7,2021,Fix the travel form.
7,2021,Perfect!
7,2021,Keep up the COVID protocols.
7,2021,Better air conditioning in places to eat.
7,2021,"Beautiful country, people and culture."
7,2021,Prices are fairly high on basic items.
7,2021,They need to put the travel website Jamaica curfew updates and less expensive prices.
7,2021,Increase pay to service workers otherwise continue with the growth.
7,2021,My family loves the island. Thank you so much.
7,2021,Great visit.
7,2021,"Enjoyed the staff, well spent."
7,2021,Always a great trip when visiting Jamaica.
7,2021,"Had a wonderful vacation, very romantic, I definitely recommend this resort."
7,2021,Excellent hotel and service and the people were friendly.
7,2021,Jamaica is so beautiful and the people are so vibrant.
7,2021,Everything was amazing.
7,2021,"Portland is beautiful with all the beaches. Very good sight seeing and relaxing,"
7,2021,Finally the curfew extend so I enjoyed my time more with friends.
8,2021,STOP EARLY CURFEWS AND LOCK DOWNS
8,2021,LOVED JAMAICA. I AM TELLING ALL OF MY FRIENDS AND FAMILY AND I AM COMING BACK SOONER THAN I THOUGHT
8,2021,PLEASE DO NOT PLACE THIS COUNTRY ON ANOTHER LOCK DOWN
8,2021,"GREAT TIME, THANK YOU"
8,2021,EVERYTHING IS GREAT
8,2021,TAMARA AT MOON PALACE WAS AWESOME!! BAR LOBBY
8,2021,SURVEY TOO LONG
8,2021,THIS SURVEY IS WAY TOO LONG
8,2021,STOP SPRAYING ALCOHOL EVERYWHERE
8,2021,SECRETS WAS AMAZING
8,2021,STOP USING THE RUBBING ALCOHOL SPRAY BOTTLES
8,2021,IT WAS GREAT
8,2021,GREAT!
8,2021,PEOPLE NEED TO BE NICER STOP ASKING FOR TIPS EVERYWHERE.
8,2021,DID NOT LIKE THAT THE MONEY EXCHANGE GOT OVER ON ME AT THE AIRPORT
8,2021,"LOVE IT HERE, (WAHGWAAN)"
8,2021,LOVED THE VACATION AND LOVE FROM RESIDENTS
8,2021,LOVELY PEOPLE AND COUNTRY
8,2021,THE TRIPS TO THE ATTRACTIONS WERE AMAZING
8,2021,"LOVED JAMAICA, GREAT CULTURE AND PEOPLE , LOVELY BEACHES"
8,2021,OVERALL CUSTOMER SERVICE IS STILL LACKING ALL AREAS IN JAMAICA
8,2021,WE HAD THE BEST STAY! ONE LOVE
8,2021,"AMAZING FRIENDLY PEOPLE, YAH MAN"
8,2021,THERE COULD HAVE BEEN BETTER NOTIFICATIONS ABOUT THE LOCK DOWN
8,2021,NEED TO HAVE A COMPLETE OVERHAUL AT SECRETS WILD ORCHID
8,2021,BETTER CUSTOMER SERVICE AT THE RESORT
8,2021,"IN RESTAURANS, THEY SHOULDNT USE SHARED CONDIMENTS DURING COVID. LIKE SALT/PEPPER . THEY SHOULD USE PACKS. SO EVERYONE DOESNT TOUCH IT"
8,2021,NEED TO DO SOMETHING ABOUT KEEPING THE ELECTRICITY ON AND KEEP UP THE ROADS
8,2021,"I LOVE THIS PLACE, MY SECOND HOME"
8,2021,"I LOVE JAMAICA, CANT WAIT TO COME BACK"
8,2021,NO ATM ANYWHERE. HARD TO GET CASH
8,2021,NOT AT THIS TIME
8,2021,MAKE THE SCENERY FROM THE AIRPORT TO THE HOTELS MORE APPEALING. THIS IS A BEAUTIFUL COUNTRY AND EVERYONE SHOULD BE ABLE TO SEE IT
8,2021,THE PLACE WAS SHUTDOWN THEN RAINED SO WE WERE UNABLE TO ENJOY OURSELVES
8,2021,Airport Wifi
8,2021,online registrarion we had to do in person again at arrival
8,2021,the airport needs better seats and charging ports to charge phones. The seats are old and hard in the terminal
8,2021,"great trip, beautiful country"
8,2021,so many questions!
8,2021,charging stations in the airport
8,2021,its a paradise island and people are so friendly and happy
8,2021,Thank you!
8,2021,"better beaches, riu"
8,2021,"better beds, riu"
8,2021,we had a wonderful stay and will return in the future
8,2021,we had a wondrful stay. we will return
8,2021,Jamaica was very fun
8,2021,LESS PAPERWORK PLEASE
8,2021,1
8,2021,"STAFF CAN BE NICER , I FOUND MANY STAFF MEMBERS LAZY"
8,2021,"GREAT TRIP, RIU NEGRIL . NEEDS NEW BEDS"
8,2021,AIRPORT PROCESS NEEDS HELP
8,2021,ORGANIZING ONES BETTER.
8,2021,"NOT ALL JAMAICANS WERE FRIENDLY, I SENSED THAT I WAS RESENTED AT TIMES"
8,2021,"LOCK DOWN WAS DISSAPOINTING, BUT WE UNDERSTOOD THE CIRCUMSTANCES"
8,2021,NO WIFI AVAILABLE IN THE AIRPORT DURING OUR TIME HERE
8,2021,SOME PEOPLE WERE RUDE/NO MANNERS
8,2021,PLEASE TREAT BLACK VISITORS WITH THE SAME RESPECT AS YOU DO WHITE VISITORS
8,2021,"I LOVE THIS COUNTRY, JAMAICA. PEOPLE ARE FRIENDLY AND SMART"
8,2021,VERY SATISFIED
8,2021,MY BANK CARD WAS LOST AND USED
8,2021,ENJOYED MY HONEYMOON
9,2021,I loved everything about Jamaica.
9,2021,People of Jamaica are amazing.
9,2021,Don't want to leave.
9,2021,Emphasis on supporting food and shelter for animals.
9,2021,Awesome trip.
9,2021,Love it here.
9,2021,"Really sad COVID prevented us from doing more attractions and that we couldn't do the Luminous Lagoon, will have to visit again after things open up."
9,2021,Taxi service is too expensive.
9,2021,For Future Employee training in the tourism department Ministry of Tourism.
9,2021,Need more budweiser.
9,2021,We love Jamaica - will be back soon.
9,2021,Need to have SCV6a for certified drivers and jet skis.
9,2021,We visit Jamaica yearly. 1st time since COVID. We were very pleased with COVID protocols and safety measures.
9,2021,Thank you for an amazing trip.
9,2021,Entering the airport through departure I found the staff to be rude and uninterested in assisting.
9,2021,Pave the route from Sangster airport to South Coast.
9,2021,Sex
9,2021,Thoroughly enjoyed my experience during this vacation.
9,2021,We enjoyed our time here but we were exhausted by the women hideous attitudes.
9,2021,People are very rude.
9,2021,The place is not children friendly or too revealing for children.
9,2021,"Explain you don't have to get Jamaican money, we got ripped off twice."
9,2021,Better Wi-Fi.
9,2021,"We stayed on our resort only because of COVID restrictions so we did not see much outside of the resort, but we had a great time."
9,2021,"Peace,love and light."
9,2021,I don't and didn't enjoy the movement.
9,2021,Keep up the good customer service.
9,2021,The people at Jewel Grande are exceptional. We will visit again.
9,2021,It's a lot to be cleared for COVID-19 test.
9,2021,I love the people here and the culture. One Love!
9,2021,We had a wonderful trip and felt very safe during pandemic.
9,2021,"Only front desk, everything else good."
9,2021,Better support at airport for baggages lost.
9,2021,The amex.
9,2021,Masks are not valuable in a climate this hot. They're not needed.
9,2021,Airport arrival a bit confusing going through customs.
9,2021,Love this place.
9,2021,Wonderful time.
9,2021,Airport bathrooms are not clean. Signs in security with directions.
9,2021,"Jmaaica was lovely, worst part was other Americans not wearing masks."
9,2021,"Love the happy workers in Jamaica, great attitude."
9,2021,Currency exchange is confusing.
9,2021,Airport should have more places open early to eat. We're hungry but nothing is open at 8:30 a.m.
9,2021,Great vacations. Thanks.
9,2021,Keep trying to push COVID vaccines.
9,2021,Some questions on travel site were confusing.
9,2021,Would recommend airport staff give better instructions instead of just looking at you. Overall wonderful stay.
9,2021,Duty free employee - need customer service training. Rude!!!
9,2021,Poor customer service at the main duty free store.
9,2021,Sandals call center did an excellent job explaining travel requirements.
9,2021,"Would love to experience local island life more in a safe way, than a resort vacation."
9,2021,"Awesome, awesome, awesome."
9,2021,Need to do better at the bank.
9,2021,The US makes Jamaica seem like a very unsafe place to be. That detered exploring outside of the resort. I wish we did have reason to come back.
9,2021,"COVID tests here were great, almost didn't make it due to poor timeliness of tests in USA."
9,2021,The female staff entering Jamaica that checked passport docs rude. Asked a question and was ignored. Kept holding her own personal conversation. Not a very good impression visiting Jamaica for the first time.
9,2021,We had an amazing time. Thank you.
9,2021,Nicer women at the airport.
9,2021,The airport workers are not working. The agents are rude and not welcoming at all. But once you leave out it's a different story. The outside workers is nice and welcoming. Thank you.
9,2021,Need better roads development.
9,2021,Keep up good job.
10,2021,"AT THE RESORTS THE DRIVERS SHOULD PUT WALKERS FIRST, NOT THEIR VEHICLES"
10,2021,WE WERE NOT AWARE WE HAD TO FILL OUT AUTHORIZATION TO VISIT JAMAICA UNTIL WE REACH THE AIRPORT.
10,2021,I HAD FUN
10,2021,"WONDERFUL EXPERIENCE , SEEYA NEXT YR"
10,2021,THANK YOU FOR BEING OPEN!
10,2021,WALK TO GATE TOO LONG
10,2021,"DONT LIKE MASKS, SANTIZER ETC. THERE IS NO PANDEMIC. THE GOVT DOESNT CARE ABOUT US."
10,2021,IT WAS GREAT TO RETURN
10,2021,THE SANDALS OCHI STAFF WAS AMAZING!
10,2021,BETTER FOOD
10,2021,Q27 TOO EVASIVE
10,2021,SOME PERSONS THAT SPEAK SPANISH PLEASE
10,2021,EVERYONE COULD NOT HAVE BEEN NICER!
10,2021,"PHYSICAL CHECK VISITORS COVID TEST, NOBODY CHECK MY COVID RESULT PRIOR TO GETTING ON THE PLANE TO JAMAICA"
10,2021,PRICES BE MORE REASONABLE AT THE ATTRACTION FOR NON-RESIDENT PEOPLE
10,2021,VERY FRIENDLY PEOPLE
10,2021,"GREAT HOSPITALITY, EVERYWHERE. LOVE THE PEOPLE AND SERVICE"
10,2021,CHANGE YOUR LGBT LAWS
10,2021,REDUNDANT CHECK OF TRAVEL AUTHORIZATION AND COVID19 INFO IS TEDIOUS AND ANNOYING
10,2021,I Had a great vacation
10,2021,make resorts accountable for false advertisemens and stop harrasiing people to buy travel club
10,2021,jamaica was lovely. i cant wait to come again
10,2021,"everyone here was very welcoming, friendly and pleasant . i really enjoyed my time here and plan to visit again"
10,2021,jamaica did not seem prepared for tourists post covid
10,2021,The US Would be a better place if they lived the Jamaican lifestyle
10,2021,just keep an eye on street peddlers
10,2021,pay your people more. they are worth it
10,2021,loved the hospitality here in jamaica. best all around
10,2021,thanks for an awesome birthday we felt so welcome
10,2021,overall a great visit
10,2021,"very friendly and helpful, loved the sights. we loved our visit. will be returning"
10,2021,charge less for covid testing
10,2021,charge less for covid testing. $18 in mexico and $40 here
10,2021,awesome vacation
10,2021,loved our visit to Jamaica. Will be back
10,2021,the people are very nice
10,2021,"link covid test to be electronic, like common pass"
10,2021,overall service was lacking. workers did not seem happy to serve guests
10,2021,need to improved kiosk system upon  arrival . it was a long wait and choatic. same for the checkin kiosk. otherwise good
10,2021,the airport could improve on the check in process
10,2021,dont let people sell things on the beach
10,2021,we got covid while here and our resort handled it perfectly
10,2021,everyone has been so friendly
10,2021,limit the mandatory spraying of hand sanitizers at the airport. shoe removal during the pandemic at the airport is unneccesary
10,2021,too much sanitizer use
10,2021,I love jamaica and always will. people could be nicer particularly females
10,2021,fix the roads its terrible
10,2021,personnel at airport very rude and prices for tourist are overprice
10,2021,get rid of no movement day and extended curfew
10,2021,keep up the good work
10,2021,"completed online registration, but customs made us fill out a form anyways"
10,2021,very nice people
10,2021,"beautiful country,  beautiful people"
10,2021,this survey is too long
10,2021,had a great time
10,2021,it was pricer to come to jamaica. but well worth it!
10,2021,beach sellers were annoying when trying to sell
10,2021,everything was perfect
10,2021,open more parties
10,2021,our main experience relates to the hotel as we spent all of our time there
10,2021,vendors only want us cash. airport is nice clean
10,2021,"too much fear. fear of murder, fear of thieves, fear of harrassment. fear of covid"
10,2021,dont push time share opportunities
10,2021,i travelled here for my honeymoon/birthday and it was great
10,2021,all hotels/resorts need fast check in process
10,2021,everything was pretty good
10,2021,everything was excellent
10,2021,would love to come back when restrictions have been lifted
10,2021,overall we have enjoyed jamaica
10,2021,i only had a issue with the loud music
10,2021,poor vaccination rates of the general population was a concern and put a cloud over our visit. people must get vaccinated.
10,2021,give to the actual communities struggling and not just the resorts
10,2021,"customer service , varies some people were great, some others are not good at all"
11,2021,Thanks for a great visit.
11,2021,Had fun nice folks.
11,2021,Sandals needs to reevaluate how they portray themselves and run business.
11,2021,Less scamming. Everyone has a scam.
11,2021,Our resort made getting tested for COVID easy and included it and had a plan and insurance if you got COVID while on vacation.
11,2021,Better efficiences at arrival. Very long.
11,2021,Have mask on hand for people who forget their masks (for resorts)
11,2021,"Coming back! One love, stay irie."
11,2021,You're doing great!
11,2021,"Building on side of road in bad condition, trash on side of roads."
11,2021,Being able to get through airport lines upon arrival were long and seemed unorganized.
11,2021,Nope but my husband wants more variety in the beers available.
11,2021,You really need to import a better variety of beer.
11,2021,I think the COVID-19 protocols could have been more organization and signs posted to direct passengers.
11,2021,Airport check-in process was very stressful.
11,2021,Too many money harassment.
11,2021,Excellent stay.
11,2021,COVID protocols almost a little too intense compared to our current protocols.
11,2021,Felt very safe and secure.
11,2021,Not Royalton White Sands.
11,2021,I'm glad you are trying to make it easier to come and stay in Jamaica.
11,2021,I love Jmaica. Don't love Sandals. Want to feel more sure travelling in Jamaica independently.
11,2021,More WiFi in general areas for tourists.
11,2021,Need more vegetarian options.
11,2021,Need more vegetarian food options.
11,2021,More flight options.
11,2021,Add a direct flight from CVG.
11,2021,Jamaica is a very beautiful country however besides the people it was very underwhelming.
11,2021,Better airport check in process especially for people missing flight.
11,2021,Love the people or music! Wonderful.
11,2021,Airport was most risky part of the trip and only thing stopping me coming again.
11,2021,Be more comfortable if vaccination status was required to enter.
11,2021,Thank you for a great stay. The beach in Negril was clean and every meal I ate was amazing.
11,2021,Great great!
11,2021,ATM in Hotels.
11,2021,Awesome time! Beautiful.
11,2021,I wish that more countries would fight against these stupid COVID mandates.
11,2021,Digital survey.
11,2021,Long wait for entry at airport.
11,2021,The long and too much to write. They were rude about us asking to get passport stamped! Which we never did!
11,2021,Beautiful country.
11,2021,Great attitudes from all locals. Ya mon.
11,2021,Why do travellers have to be vaccinated doubly to come here but less than 50% of hotel staff not had 1 vaccine shot? I will be reporting this to the embassy.
11,2021,Love this country.
11,2021,Excellent visit.
11,2021,"The process at the aiport coming into the country was confusing, many of the machines weren't working."
11,2021,Wonderful hospitality.
11,2021,Leverage the show manifest attract tourists.
11,2021,Great people and attitudes.
11,2021,"Great country, just not for me."
11,2021,We were sent past the 1st immigration service and no instructions were given. We frustrated the immigration agent.
11,2021,Arriva procedure was confusing.
11,2021,Singled out of line because I was here for busines. Told I must pay $100 cash for mandatory PCR test. Not a good start.
11,2021,Your country is so beautiful. The land is so rich! I'd like to purchase a home here someday.
11,2021,Loved Jamaica! Yah mon!
11,2021,Island time can be a nightmare.
11,2021,Unsure if other people at resort were vaccinated or not.
11,2021,Animals on street.
11,2021,Jah live.
11,2021,Letting LGBTQ people know they are safe upon arrival - we felt safe but we weren't sure based on what we heard prior to visiting. Thank you.
11,2021,Roads are in really bad conditioning.
11,2021,An adult only resort.
11,2021,More ammenities should be included in some all inclusive resorts.
11,2021,Processing upon arrival could be improved.
11,2021,Drivers or transportation is very expensive.
11,2021,Enjoyed my stay.
11,2021,The protocol to Jamaica was not accurate at all.
11,2021,I love Jamaica. It was great!
11,2021,Beautiful.
11,2021,The resorts make so much money they should help maintain the roads.
11,2021,Less harassment at attraction.
11,2021,Great resort and great people.
11,2021,Great time! Will come again soon!
11,2021,"More positive, friendly attitudes."
11,2021,Felt like home.
11,2021,Loved Jamaica.
11,2021,Was very pleased to see pro arrival and departure covid-19 very good.
11,2021,"Taxi to and from hotel was scary. Too fast, weaving in and out of traffic."
12,2021,ONE LOVE!
12,2021,THERE NEEDS TO BE ROAD SIGNS> ROADS ARE TOO NARROW. NO STREET LIGHTS SOME PLACES
12,2021,MORE JAMAICAN MUSIC
12,2021,JAMAICA SWEET
12,2021,GREAT TIME IN JAMAICA
12,2021,SOME STAFF NEED SOME MORE TRAINING. SERVICE IS POOR
12,2021,NATURAL ATTRACTIONS E.G. BLUE LAGOON SHOULD BE BETTER ADVERSTISED
12,2021,LOVELY PLACE TO VACATION
12,2021,LOVE IT HERE
12,2021,CLEARER COMMUNICATION RE: PCR TEST AMD TRANSPORT FROM HOTEL
12,2021,LOVE IT HERE!
12,2021,EVERYTHING WAS GREAT
12,2021,MY STAY WAS IRIE
12,2021,ALWAYS ENJOY JAMAICA
12,2021,CHECKING IN THE AIRPORT FOR MILITARY WAS A HORRIBLE EXPERIENCE. NEED BETTER PROTOCAL FOR MILITARY
12,2021,"WE LOVED JAMAICA, THANK YOU"
12,2021,CHECK IN AT AIRPORT TOO SLOW
12,2021,"lovely place, lovely people"
12,2021,THE PEOPLE WERE COMPETENT< PLEASANT< HELPFUL AND THEY MADE MY VISIT AMAZING
12,2021,HAD TO FILL IN JAMAICAN ENTRY FORM ONLINE AND ALSO ON PAPER
12,2021,9
12,2021,AIRPORT CHECKIN NEED BETTER CUSTOOMER SERVICE REPS
12,2021,LOVE THE ISLAND AND PEOPLE
12,2021,amazing visit. thank you
12,2021,would recommend being more friendly. everyone seemed not happy
12,2021,always enjoy my stay . customers should be offered the same type of service regardless of race
12,2021,amazing country! loved it!
12,2021,new motorways to hotels
12,2021,"amazing country, even better people"
12,2021,"BE nice all of the time and to everyone,not just for $"
12,2021,police are corrupt
12,2021,MONITOR THE BEHAVIOUR OF LOCAL GUESTS IN RESORT> EVERYONE ELSE WAS LOVELY
12,2021,JAMAICA IS AMAZING! THE PEOPLE ARE FANNTASTIC! WILL BE BACK SOON
12,2021,HAVING TO PAY TOO MUCH FOR A PCR TEST
12,2021,AMAZING TRIP
12,2021,THE ARRIVAL PROCESS SHOULD BE LESS TIMELESS
12,2021,VISITJAMAICA WEBSITE DID NOT WORK IN A CANADIAN CONNECTION. HAD TO USE AN USA VPN
12,2021,GREAT TRIP. VERY FUN
12,2021,"MORE ORGANIZATION, DIRECTION WHEN ARRIVING HERE FROM CANADA"
12,2021,SEE YOU APRIL 2022
12,2021,"I""LL SEE YOU SOON"
12,2021,MAKE BOB MARLEY EXCURSION BETTER
12,2021,LOWER PRICING FOR COVID TESTING AND EASIER PROCESS
12,2021,PEOPLE ARE VERY NICE AND FRIENDLY
12,2021,FRIENDLY PEOPLE
12,2021,BEAUTY STAY . WE WILL BE BACK SOON
12,2021,COUPLES IS A GOOD RESORT
12,2021,WONDERFUL COUNTRY WITH BEAUTIFUL PEOPLE
12,2021,GOING THROUGH TSA WAS GOOD AND EASY
12,2021,FIX ROADS
